id,title,url,images,type,brand,display,year,price,time_changed
12125,Apple iPad Pro 12.9 3rd Gen 1TB Wi-Fi,ipad-pro-12-9-3rd-gen-1tb-wi_fi,apple-ipad-pro-12-9-3rd-gen-1tb-wi_fi.webp,tablet,Apple,1,2018,180,2023-02-20 04:34:49
12126,Apple iPad Pro 11 2nd Gen 128GB Wi-Fi + Cellular,ipad-pro-11-2nd-gen-128gb-wi_fi-cellular,apple-ipad-pro-11-2nd-gen-128gb-wi_fi-cellular.webp,tablet,Apple,1,2020,160,2023-02-20 03:29:19
12127,Apple iPad Pro 11 2nd Gen 256GB Wi-Fi + Cellular,ipad-pro-11-2nd-gen-256gb-wi_fi-cellular,apple-ipad-pro-11-2nd-gen-256gb-wi_fi-cellular.webp,tablet,Apple,1,2020,180,2023-02-20 03:42:41
12128,Apple iPad Pro 11 2nd Gen 512GB Wi-Fi + Cellular,ipad-pro-11-2nd-gen-512gb-wi_fi-cellular,apple-ipad-pro-11-2nd-gen-512gb-wi_fi-cellular.webp,tablet,Apple,1,2020,205,2023-02-20 03:42:58
12129,Apple iPad Pro 11 2nd Gen 1TB Wi-Fi + Cellular,ipad-pro-11-2nd-gen-1tb-wi_fi-cellular,apple-ipad-pro-11-2nd-gen-1tb-wi_fi-cellular.webp,tablet,Apple,1,2020,235,2023-02-20 03:44:16
12130,Apple iPad Pro 11 2nd Gen 256GB Wi-Fi,ipad-pro-11-2nd-gen-256gb-wi_fi,apple-ipad-pro-11-2nd-gen-256gb-wi_fi.webp,tablet,Apple,1,2020,160,2023-02-20 03:42:29
12131,Apple iPad Pro 11 2nd Gen 128GB Wi-Fi,ipad-pro-11-2nd-gen-128gb-wi_fi,apple-ipad-pro-11-2nd-gen-128gb-wi_fi.webp,tablet,Apple,1,2020,140,2023-02-20 03:29:16
12132,Apple iPad Pro 11 2nd Gen 512GB Wi-Fi,ipad-pro-11-2nd-gen-512gb-wi_fi,apple-ipad-pro-11-2nd-gen-512gb-wi_fi.webp,tablet,Apple,1,2020,185,2023-02-20 03:42:54
12133,Apple iPad Pro 11 2nd Gen 1TB Wi-Fi,ipad-pro-11-2nd-gen-1tb-wi_fi,apple-ipad-pro-11-2nd-gen-1tb-wi_fi.webp,tablet,Apple,1,2020,210,2023-02-20 03:44:13
12134,Apple iPad Pro 12.9 4th Gen 128GB Wi-Fi + Cellular,ipad-pro-12-9-4th-gen-128gb-wi_fi-cellular,apple-ipad-pro-12-9-4th-gen-128gb-wi_fi-cellular.webp,tablet,Apple,1,2020,170,2023-02-21 01:13:26
12135,Apple iPad Pro 12.9 4th Gen 256GB Wi-Fi + Cellular,ipad-pro-12-9-4th-gen-256gb-wi_fi-cellular,apple-ipad-pro-12-9-4th-gen-256gb-wi_fi-cellular.webp,tablet,Apple,1,2020,190,2023-02-21 01:14:34
12136,Apple iPad Pro 12.9 4th Gen 512GB Wi-Fi + Cellular,ipad-pro-12-9-4th-gen-512gb-wi_fi-cellular,apple-ipad-pro-12-9-4th-gen-512gb-wi_fi-cellular.webp,tablet,Apple,1,2020,210,2023-02-21 01:16:08
12137,Apple iPad Pro 12.9 4th Gen 1TB Wi-Fi + Cellular,ipad-pro-12-9-4th-gen-1tb-wi_fi-cellular,apple-ipad-pro-12-9-4th-gen-1tb-wi_fi-cellular.webp,tablet,Apple,1,2020,240,2023-02-21 01:18:40
12138,Apple iPad Pro 12.9 4th Gen 128GB Wi-Fi,ipad-pro-12-9-4th-gen-128gb-wi_fi,apple-ipad-pro-12-9-4th-gen-128gb-wi_fi.webp,tablet,Apple,1,2020,150,2023-02-21 01:13:22
12139,Apple iPad Pro 12.9 4th Gen 256GB Wi-Fi,ipad-pro-12-9-4th-gen-256gb-wi_fi,apple-ipad-pro-12-9-4th-gen-256gb-wi_fi.webp,tablet,Apple,1,2020,170,2023-02-21 01:14:30
