id,title,url,images,type,brand,display,year,price,time_changed
5086,Dell Precision T5600 Intel Xeon E5,precision-t5600-intel-xeon-e5,dell-precision-t5600-intel-xeon-e5.webp,desktop,Dell,1,2012,25,2023-06-28 02:05:32
5087,Dell Precision T5810 Intel Xeon,precision-t5810-intel-xeon,dell-precision-t5810-intel-xeon.webp,desktop,Dell,1,2014,30,2023-06-28 02:13:09
5088,Dell Precision T5820 Intel Xeon,precision-t5820-intel-xeon,dell-precision-t5820-intel-xeon.webp,desktop,Dell,1,2019,30,2023-06-28 02:16:09
5089,Dell Precision T7810 Intel Xeon,precision-t7810-intel-xeon,dell-precision-t7810-intel-xeon.webp,desktop,Dell,1,2015,40,2023-06-28 02:19:34
5090,Dell Precision T7820 Intel Xeon,precision-t7820-intel-xeon,dell-precision-t7820-intel-xeon.webp,desktop,Dell,1,2018,75,2023-06-28 02:26:18
5091,Dell Precision T7910 Intel Xeon,precision-t7910-intel-xeon,dell-precision-t7910-intel-xeon.webp,desktop,Dell,1,2016,75,2023-06-28 02:30:49
5092,Dell Precision T7920 Intel Xeon,precision-t7920-intel-xeon,dell-precision-t7920-intel-xeon.webp,desktop,Dell,1,2019,175,2023-06-28 02:35:36
5094,Dell Vostro 3670 Intel Core i5 8th Gen,vostro-3670-intel-core-i5-8th-gen,dell-vostro-3670-intel-core-i5-8th-gen.webp,desktop,Dell,1,2018,30,2023-06-28 03:05:30
5095,Dell Vostro 3670 Intel Core i7 8th Gen,vostro-3670-intel-core-i7-8th-gen,dell-vostro-3670-intel-core-i7-8th-gen.webp,desktop,Dell,1,2018,35,2023-06-28 03:05:35
5104,Dell XPS 8900 Intel Core i5 6th Gen,xps-8900-intel-core-i5-6th-gen,dell-xps-8900-intel-core-i5-6th-gen.webp,desktop,Dell,1,2016,25,2023-06-28 03:20:50
5105,Dell XPS 8900 Intel Core i5 7th Gen,xps-8900-intel-core-i5-7th-gen,dell-xps-8900-intel-core-i5-7th-gen.webp,desktop,Dell,1,2017,30,2023-06-28 03:20:54
